id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
81,Puree Wortel Gurame,"wortel, ikan gurame, asparagus, kentang, tempe, keju cheddar",keju,Indonesia,9-11 Bulan
82,Jus Jambu Wortel,"wortel, jambu merah, jeruk manis, air",,Indonesia,9-11 Bulan
83,Biskuit Wortel,"wortel, oat, tepung maizena, mentega tawar, ASI",tepung,Indonesia,9-11 Bulan
83,Biskuit Wortel,"wortel, oat, tepung maizena, mentega tawar, ASI",mentega,Indonesia,9-11 Bulan
84,Puree Alpukat Pisang,"alpukat, pisang",,Indonesia,9-11 Bulan
85,Salad Buah,"alpukat, pisang, pir, yogurt",yogurt,Indonesia,9-11 Bulan
86,Krim Alpukat Mangga,"mangga, alpukat, yogurt",yogurt,Indonesia,9-11 Bulan
87,Nasi Tim Saring Campur,"beras, air, daging giling, brokoli, tomat, keju parut",keju,Indonesia,9-11 Bulan
88,Nasi Tim Saring Ayam Wortel,"beras, air, daging ayam giling, tempe, wortel, tomat, mentega",mentega,Indonesia,9-11 Bulan
89,Nasi Tim Saring Ikan,"beras, air, ikan, tempe, labu siam, tomat, mentega",ikan,,9-11 Bulan
89,Nasi Tim Saring Ikan,"beras, air, ikan, tempe, labu siam, tomat, mentega",tempe,,9-11 Bulan
89,Nasi Tim Saring Ikan,"beras, air, ikan, tempe, labu siam, tomat, mentega",mentega,,9-11 Bulan
90,Jus Bayam,"daun bayam, air",,Indonesia,9-11 Bulan
91,Pure Bayam Jagung Tahu,"daun bayam, jagung, tahu, kaldu ayam",tahu,Indonesia,9-11 Bulan
92,Tim Makaroni Bayam,"daun bayam, makaroni, ikan kakap, air, margarin",ikan,Indonesia,9-11 Bulan
92,Tim Makaroni Bayam,"daun bayam, makaroni, ikan kakap, air, margarin",pasta,Indonesia,9-11 Bulan
93,Nasi Tim Hati Ayam,"air, beras, hati ayam, tempe, labu kuning, tomat, minyak",tempe,Indonesia,9-11 Bulan
94,Nasi Tim Telur,"beras, air, hati ayam, telur, wortel, daun kangkung, santan",tahu,Indonesia,9-11 Bulan
94,Nasi Tim Telur,"beras, air, hati ayam, telur, wortel, daun kangkung, santan",telur,Indonesia,9-11 Bulan
95,Nasi Tim Jagung Ikan,"jagung, santan, ikan, tahu, tomat, wortel, kecap manis, margarin/mentega",ikan,Indonesia,9-11 Bulan
95,Nasi Tim Jagung Ikan,"jagung, santan, ikan, tahu, tomat, wortel, kecap manis, margarin/mentega",tahu,Indonesia,9-11 Bulan
95,Nasi Tim Jagung Ikan,"jagung, santan, ikan, tahu, tomat, wortel, kecap manis, margarin/mentega",mentega,Indonesia,9-11 Bulan
95,Nasi Tim Jagung Ikan,"jagung, santan, ikan, tahu, tomat, wortel, kecap manis, margarin/mentega",kecap,Indonesia,9-11 Bulan
96,Nasi Tim Ikan Salmon,"beras merah, ikan salmon, bayam hijau, kacang merah, ASI/PASI/air",kacang,Indonesia,9-11 Bulan
96,Nasi Tim Ikan Salmon,"beras merah, ikan salmon, bayam hijau, kacang merah, ASI/PASI/air",ikan,Indonesia,9-11 Bulan
97,Bubur Ikan Salmon,"ikan salmon, wortel, nasi matang, air, mentega",mentega,Indonesia,9-11 Bulan
97,Bubur Ikan Salmon,"ikan salmon, wortel, nasi matang, air, mentega",ikan,Indonesia,9-11 Bulan
98,Tim Saring Salmon dan Tempe,"ikan salmon, beras merah, tempe, buncis baby, kaldu sayur, telur rebus",ikan,Indonesia,9-11 Bulan
98,Tim Saring Salmon dan Tempe,"ikan salmon, beras merah, tempe, buncis baby, kaldu sayur, telur rebus",tempe,Indonesia,9-11 Bulan
